unique,caseno,Date,block,iucr,Type,Type_desc,Where,Arrest,Domestic,Beat,District,Ward,Community_area,FBI,x,y,Year,Updated,Latitude,Longitude,Location,color1,color2
10226531,HY414045,07-01-2015 07:00,096XX S YALE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,511,5,21,49,6,1176312,1841107,2015,02-10-2018 15:50,41.71934928,-87.62982145,"(41.719349283, -87.629821445)",#FE9A65,#FD7C37
10226532,HY413866,09-07-2015 12:15,110XX S EBERHART AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,513,5,9,49,08B,1181508,1831878,2015,02-10-2018 15:50,41.69390561,-87.61107375,"(41.693905612, -87.611073751)",#A5FCD4,#6CFFBA
11642710,HY413916,03/31/2019 01:00:00 AM,015XX N WELLS ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1821,18,27,8,6,,,2019,04-07-2019 16:05,,,,#FE9A65,#FD7C37
10226533,JC209088,09-07-2015 13:45,016XX W FARWELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,2431,24,49,1,14,1164079,1945686,2015,09/17/2015 11:37:18 AM,42.0065892,-87.67167514,"(42.0065892, -87.671675138)",#FF785A,#FC4B24
10226534,HY414039,09-07-2015 13:00,019XX S CHRISTIANA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,TRUE,1024,10,24,29,14,1154341,1890217,2015,02-10-2018 15:50,41.85457887,-87.70898885,"(41.854578867, -87.708988854)",#FF785A,#FC4B24
10226535,HY413989,05-07-2015 12:00,120XX S EMERALD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT/GARAGE(NON.RESID.),FALSE,TRUE,523,5,34,53,26,1173478,1824983,2015,02-10-2018 15:50,41.67516565,-87.64067642,"(41.675165651, -87.640676424)",#95FDEA,#5FFCE0
10226537,HY413948,09-07-2015 13:50,033XX W DOUGLAS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,1021,10,24,29,14,1154115,1893253,2015,02-10-2018 15:50,41.8629145,-87.70973744,"(41.862914501, -87.709737438)",#FF785A,#FC4B24
10226538,HY414041,09-07-2015 00:30,028XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1031,10,22,30,08B,1150173,1884797,2015,02-10-2018 15:50,41.83978785,-87.72442833,"(41.839787847, -87.724428331)",#A5FCD4,#6CFFBA
10226541,HY414015,09-07-2015 12:00,051XX W BARRY AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2521,25,30,19,26,1141649,1920127,2015,02-10-2018 15:50,41.93689924,-87.75483413,"(41.936899239, -87.754834131)",#EF511F,#B63208
10226542,HY413966,09-07-2015 12:00,082XX S LOOMIS BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,613,6,21,71,26,1168433,1850057,2015,02-10-2018 15:50,41.74408245,-87.65842275,"(41.744082447, -87.658422747)",#95FDEA,#5FFCE0
10226544,HY414051,09-07-2015 10:56,014XX N SEDGWICK ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1821,18,27,8,08B,1173383,1909982,2015,02-10-2018 15:50,41.90841407,-87.6385097,"(41.908414071, -87.638509704)",#A5FCD4,#6CFFBA
10226545,HY413846,09-07-2015 13:20,054XX W CHICAGO AVE,560,ASSAULT,SIMPLE,GROCERY FOOD STORE,FALSE,FALSE,1524,15,37,25,08A,1140010,1904805,2015,02-10-2018 15:50,41.89488416,-87.7612334,"(41.894884155, -87.761233398)",#AB96FF,#7251F9
10226546,HY414017,09-07-2015 00:01,014XX N LINDER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,2532,25,37,25,26,1139412,1909060,2015,02-10-2018 15:50,41.90657131,-87.76332589,"(41.906571306, -87.763325887)",#95FDEA,#5FFCE0
10226547,HY413828,09-07-2015 14:10,110XX S EBERHART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,513,5,9,49,14,1181508,1831878,2015,02-10-2018 15:50,41.69390561,-87.61107375,"(41.693905612, -87.611073751)",#FF785A,#FC4B24
10226549,HY414050,09-07-2015 13:25,111XX S EDBROOKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,531,5,9,49,08B,1179180,1831154,2015,02-10-2018 15:50,41.69197211,-87.61961904,"(41.691972105, -87.619619039)",#A5FCD4,#6CFFBA
10226550,HY414016,09-07-2015 12:30,016XX W 35TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,912,9,11,59,14,1165823,1881523,2015,02-10-2018 15:50,41.83048485,-87.66709266,"(41.83048485, -87.667092656)",#FF785A,#FC4B24
10226551,HY413990,09-03-2015 16:00,026XX N NARRAGANSETT AVE,860,THEFT,RETAIL THEFT,OTHER,FALSE,FALSE,2512,25,36,19,6,1133297,1916857,2015,02-10-2018 15:50,41.92807654,-87.78560619,"(41.928076536, -87.785606186)",#FE9A65,#FD7C37
10226552,HY413779,09-07-2015 09:02,024XX S SACRAMENTO AVE,454,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1033,10,12,30,08B,1156744,1887733,2015,02-10-2018 15:50,41.84771421,-87.70023602,"(41.847714208, -87.700236017)",#A5FCD4,#6CFFBA
