city,crime_name,2011,2012,2013,2014,avg
Allahabad,Dowry deaths,1.8,1.6,2.7,2.5,2.2
Allahabad,Extortion,,,,0,0
Allahabad,Forgery,,,,0,0
Allahabad,Gang rape,,,,0,0
Allahabad,Gang rape other than custodial,,,,0.4,0.4
Allahabad,Grievous hurt,,,,1.6,1.6
Allahabad,House trespass & house breaking,,,,0,0
Allahabad,Human trafficking,,,,0,0
Allahabad,Hurt,18.1,7.1,2.2,1.7,10.7
Allahabad,Importation of girls from foreign country,0,0,0,0,0
Allahabad,Imputation or assertions prejudicial to national integration,,,,0,0
Allahabad,Industrial riots,,,,0,0
Allahabad,Insult to modesty of women at office premises,,,,0,0
Allahabad,Insult to modesty of women at other places,,,,0.2,0.2
Allahabad,Insult to modesty of women in other places related to work,,,,0,0
Allahabad,Insult to modesty of women in public transport system,,,,0,0
Allahabad,Insult to the modesty of women,0.2,0,0,0.2,0.1
Allahabad,Kidnapping,,,,0.7,0.7
Allahabad,Kidnapping & abduction,5.6,4.9,9.4,8.5,6.4
Allahabad,Kidnapping & abduction in order to murder,,,,0,0
Allahabad,Kidnapping & abduction of others,1,,3.5,0,1.8
Allahabad,Kidnapping & abduction of women and girls,10,9.3,12.8,0,9.3
Allahabad,Kidnapping & abduction of women to compel her for marriage,,,,9.3,9.3
Allahabad,Kidnapping for ransom,,,,0,0
Allahabad,Kidnapping of others,,0.7,,0,0.7
Allahabad,Making or possessing materials for forged currency or bank notes,,,,0,0
Allahabad,Making or using documents resembling currency notes or bank notes,,,,0,0
Allahabad,Making preparation and assembly for committing dacoity,,,,0,0
Allahabad,Murder,4.8,2.6,3.6,2.7,3.6
Allahabad,Offences against state,,,,0,0
Allahabad,Offences promoting enmity between different groups,,,,0,0
Allahabad,Offences related to counterfeit coin,,,,0,0
Allahabad,Other IPC crimes,40,76.7,121.6,127,76.1
Allahabad,Other cases of assault on women to outrage her modesty,,,,0,0
Allahabad,Other caste conflict riots,,,,0,0
Allahabad,Other kidnapping & abduction,,,,3.5,3.5
Allahabad,Other rape,1.8,2,4.6,0.1,1.9
Allahabad,Other rape other than custodial,,,,3.2,3.2
Allahabad,Other theft,16.3,15,26,26.5,19.3
Allahabad,Political riots,,,,0,0
Allahabad,Possession of forged or counterfeiting currency or bank notes,,,,0,0
Allahabad,Preparation & assembly for dacoity,0.1,0.4,0.1,0,0.2
Allahabad,"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0,0
Allahabad,Rape,1.8,2,4.6,3.6,2.6
Allahabad,Rape other than custodial,,,,3.6,3.6
Allahabad,Riots,3.7,3.2,3.6,1.9,3.3
Allahabad,Riots others,,,,1.7,1.7
Allahabad,Robbery,4.4,1.8,2.2,6.8,3.5
Allahabad,SCs-STs vs Non-SCs-STs riots,,,,0,0
Allahabad,Sectarian riots,,,,0,0
Allahabad,Sedition,,,,0,0
Allahabad,Sexual harassment,,,,8.9,8.9
Allahabad,Sexual harassment and molestation of women,2.1,3,16.4,17.3,8.1
Allahabad,Stalking,,,,7.1,7.1
Allahabad,Student riots,,,,0.2,0.2
Allahabad,Theft,84.4,75.1,101.5,135.3,91
Allahabad,Total cognizable crimes under IPC,222,229.1,320,385.7,268.9
Allahabad,Unlawful assembly,,,,0,0
Allahabad,Unnatural offences,,,,0,0
Allahabad,Use of criminal force with intent to disrobe women,,,,0.7,0.7
Allahabad,"Using as genuine, forged or counterfeiting currency or bank notes",,,,0,0
Allahabad,Voyeurism,,,,0.4,0.4
Amritsar,Acid attack,,,,0.1,0.1
Amritsar,Agrarian riots,,,,0,0
Amritsar,Arson,0.3,0.5,0.3,0.2,0.3
Amritsar,Assault on women with intent to outrage her modesty,1.3,2.5,9.6,8.1,4.7
Amritsar,Attempt to acid attack,,,,0,0
Amritsar,Attempt to commit culpable homicide not amounting to murder,,,,0.3,0.3
Amritsar,Attempt to commit murder,6.3,6.8,4.6,6.3,6.2
Amritsar,Attempt to commit rape,,,,1.4,1.4
Amritsar,Auto theft,12,12.6,8.4,7.9,10.2
Amritsar,Burglary,9.9,13.3,8.6,10.7,10.1
Amritsar,Caste conflict riots,,,,0,0
Amritsar,Causing death by negligence,5.6,6.9,6.6,5.2,6.2
Amritsar,Causing injuries under rash driving or road rage,,,,6.4,6.4
Amritsar,Cheating,22,22.5,21.5,25.9,23.8
Amritsar,Communal riots,,,,0,0
Amritsar,Counterfeit currency & bank notes total,,,,0.2,0.2
Amritsar,Counterfeiting,0.3,0.1,0.2,0.2,0.4
Amritsar,Counterfeiting currency - notes or bank notes,,,,0.2,0.2
Amritsar,Counterfeiting government stamp,,,,0,0
Amritsar,Criminal breach of trust,1.4,1.1,1.4,2,1.5
Amritsar,Criminal trespass or burglary,,,,10.3,10.3
Amritsar,Cruelty by husband or his relatives,18.2,19,18.2,27.1,19.6
Amritsar,Culpable homicide not amounting to murder,0,0.2,0.3,0.2,0.3
Amritsar,Custodial rape,0,0,0,0,0
Amritsar,Dacoity,0,0.2,0.2,0.1,0.2
Amritsar,Dacoity with murder,,,,0,0
Amritsar,Deaths due to other causes,,,,0.2,0.2
Amritsar,Deaths due to rash or negligent driving,,,,5.1,5.1
Amritsar,Disclosure of identity of victims,,,,0,0
Amritsar,Dowry deaths,0.7,0.9,0.7,0.5,0.9
Amritsar,Extortion,,,,0.3,0.3
Amritsar,Forgery,,,,0.2,0.2
Amritsar,Gang rape,,,,0,0
Amritsar,Gang rape other than custodial,,,,0.4,0.4
Amritsar,Grievous hurt,,,,12,12
Amritsar,House trespass & house breaking,,,,0.4,0.4
Amritsar,Human trafficking,,,,0,0
Amritsar,Hurt,13,11.3,13.3,12.1,12.9
Amritsar,Importation of girls from foreign country,0,0,0,0,0
Amritsar,Imputation or assertions prejudicial to national integration,,,,0,0
Amritsar,Industrial riots,,,,0,0
Amritsar,Insult to modesty of women at office premises,,,,0,0
Amritsar,Insult to modesty of women at other places,,,,0.4,0.4
Amritsar,Insult to modesty of women in other places related to work,,,,0,0
Amritsar,Insult to modesty of women in public transport system,,,,0,0
Amritsar,Insult to the modesty of women,0.2,0,0.7,0.4,0.4
Amritsar,Kidnapping,,,,0.3,0.3
Amritsar,Kidnapping & abduction,3.6,4.4,5.2,6.6,5
Amritsar,Kidnapping & abduction in order to murder,,,,0.3,0.3
Amritsar,Kidnapping & abduction of others,0.8,,0.8,0,0.8
Amritsar,Kidnapping & abduction of women and girls,6.1,8.1,9.6,0,7.9
Amritsar,Kidnapping & abduction of women to compel her for marriage,,,,8.5,8.5
Amritsar,Kidnapping for ransom,,,,0,0
Amritsar,Kidnapping of others,,0.6,,0,0.6
